stock_symbol,operating_profit_sep_2021,operating_profit_sep_2022,eps_sep_2021,eps_sep_2022,promoter_holding_sep_2021,promoter_holding_sep_2022,public_holding_sep_2021,public_holding_sep_2022
REMSONSIND,3.83,5.51,1.84,3.55,75.00,75.00,25.00,25.01
REPL,None,None,None,None,None,None,None,None
RESPONIND,19.97,17.93,0.18,0.13,49.58,58.94,41.47,1.82
RHFL,-157,27,-5.87,-3.39,49.58,48.64,46.46,47.60
RICOAUTO,34,43,0.63,0.97,50.32,50.32,47.50,48.64
RITES,208,158,6.79,5.47,72.20,72.20,10.16,7.89
RKEC,4.75,17.39,0.61,4.16,None,None,None,None
RML,30,43,5.50,9.73,71.14,72.65,28.86,27.35
ROLEXRINGS,None,None,None,None,None,None,None,None
ROML,1.25,1.20,0.68,0.59,75.00,75.00,25.00,25.00
ROTO,10.04,10.50,4.65,4.18,69.97,68.86,29.18,26.80
RPGLIFE,26,30,9.52,12.07,72.07,72.62,27.90,27.27
RPPL,None,None,None,None,None,None,None,None
RSWM,104,72,8.99,2.92,53.16,53.15,44.27,44.81
RTNPOWER,153,122,0.04,0.02,44.19,44.06,41.70,48.28
RUCHINFRA,5.30,4.06,0.12,0.09,65.71,65.65,23.61,23.70
RUPA,71,29,6.92,2.10,73.28,73.28,21.73,21.89
RVNL,227,316,1.07,1.43,78.20,78.20,12.44,12.61
SADBHAV,35,29,0.25,-0.69,44.86,38.57,35.16,47.52
SAGARDEEP,0.58,0.41,0.02,0.14,None,None,None,None
SAKAR,7.09,8.59,1.44,1.04,None,None,None,None
SAKUMA,3.04,2.90,0.11,0.12,61.88,61.87,38.12,38.08
SALONA,11.05,11.74,13.47,10.36,None,None,None,None
SAMBHAAV,1.56,1.62,0.01,-0.01,62.93,62.93,36.74,36.83
SANDHAR,50,48,3.94,2.76,70.37,70.38,12.27,12.95
SANGHVIMOV,36,57,1.05,6.68,47.25,47.25,51.40,50.14
SANOFI,199,182,230.04,56.84,60.40,60.40,11.59,13.08
SAPPHIRE,None,None,None,None,None,None,None,None
SARLAPOLY,19,14,1.92,1.29,55.19,55.91,44.14,43.20
SATHAISPAT,6,-2,-13.28,-2.29,39.58,39.58,54.89,60.40
SBC,None,None,None,None,None,None,None,None
SBILIFE,272,426,2.47,3.76,55.69,55.46,7.77,4.56
SCAPDVR,None,None,None,None,35.20,23.10,64.32,76.42
SCHNEIDER,3.72,18.87,-0.37,0.37,75.00,75.00,21.30,21.88
SDBL,1.06,1.93,-0.28,0.28,24.48,32.72,75.42,65.69
SECURKLOUD,0.83,1.14,-0.33,-0.04,38.16,43.52,61.77,56.43
SEPC,-8,-81,-0.37,0.32,28.76,47.62,12.96,11.38
SEQUENT,-4.58,-9.58,0.17,-0.16,53.52,52.79,29.73,37.48
SESHAPAPER,40,140,3.97,16.11,42.65,42.78,31.89,30.69
SEYAIND,1.85,-2.88,-0.21,-1.79,64.50,64.50,27.04,33.54
SGIL,None,None,None,None,73.96,74.02,14.12,14.06
SHAILY,22.46,24.27,11.44,10.28,46.32,43.81,37.97,34.71
SHALPAINTS,-8,-5,-3.09,-1.49,53.10,39.93,43.40,58.38
SHANTI,None,None,None,None,None,None,None,None
SHARDAMOTR,61,76,15.37,18.19,73.20,73.20,26.41,26.24
SHILPAMED,64,-24,5.35,-1.98,53.25,50.01,31.57,33.78
SHIVAMILLS,7.88,-3.15,5.50,-3.83,74.94,74.93,25.06,24.63
SHOPERSTOP,71,167,-0.28,1.66,65.41,65.51,8.54,7.75
SHREEPUSHK,13.59,6.25,3.08,-0.24,67.03,68.42,30.40,29.05
SHRENIK,1.18,2.45,-0.09,0.03,None,None,None,None
SHRIPISTON,86,115,20.86,33.14,None,None,None,None
SHYAMCENT,15.54,7.39,0.56,0.29,54.49,51.88,45.51,47.90
SICAL,-1.05,5.97,-24.67,-1.16,23.54,15.97,76.15,83.73
SIGACHI,None,None,None,None,None,None,None,None
SILGO,None,None,None,None,None,None,None,None
SILVERTUC,None,None,None,None,None,None,None,None
SIMPLEXINF,24,3,-22.37,-23.87,49.83,49.82,40.92,40.92
SIS,33,45,1.05,1.36,72.81,71.48,10.26,9.00
SJS,None,None,None,None,None,None,None,None
SKIPPER,41.94,39.81,0.42,0.44,71.89,71.89,18.63,18.24
SMARTLINK,1.04,0.25,0.52,0.37,69.89,69.89,30.11,30.01
SMLT,None,None,None,None,69.83,69.83,30.17,29.46
SNOWMAN,17.98,23.08,0.03,0.16,40.25,40.25,57.99,57.28
SOFTTECH,None,None,None,None,None,None,None,None
